时间,代码,名称,开盘价,收盘价,最高价,最低价,成交量,成交额,涨幅,振幅
2026-01-05 09:30:00,sh600318,新力金融,8.93,8.93,8.93,8.93,1548,1382364,0.0,0.0
2026-01-05 09:31:00,sh600318,新力金融,8.93,8.94,8.97,8.93,3469,3103434,0.11,0.45
2026-01-05 09:32:00,sh600318,新力金融,8.93,8.9,8.94,8.9,5465,4875023,-0.45,0.45
2026-01-05 09:33:00,sh600318,新力金融,8.9,8.87,8.9,8.86,3822,3392023,-0.34,0.45
2026-01-05 09:34:00,sh600318,新力金融,8.87,8.86,8.88,8.85,4190,3712860,-0.11,0.34
2026-01-05 09:35:00,sh600318,新力金融,8.84,8.86,8.86,8.84,2266,2005110,0.0,0.23
2026-01-05 09:36:00,sh600318,新力金融,8.86,8.88,8.89,8.86,1580,1400812,0.23,0.34
2026-01-05 09:37:00,sh600318,新力金融,8.88,8.89,8.89,8.88,1659,1474043,0.11,0.11
2026-01-05 09:38:00,sh600318,新力金融,8.88,8.9,8.9,8.88,699,621593,0.11,0.22
2026-01-05 09:39:00,sh600318,新力金融,8.9,8.88,8.9,8.88,1063,944313,-0.22,0.22
2026-01-05 09:40:00,sh600318,新力金融,8.88,8.89,8.89,8.87,847,752098,0.11,0.23
2026-01-05 09:41:00,sh600318,新力金融,8.89,8.87,8.89,8.87,1080,958309,-0.22,0.22
2026-01-05 09:42:00,sh600318,新力金融,8.87,8.89,8.89,8.86,1536,1362493,0.23,0.34
2026-01-05 09:43:00,sh600318,新力金融,8.89,8.89,8.89,8.88,543,482415,0.0,0.11
2026-01-05 09:44:00,sh600318,新力金融,8.88,8.91,8.91,8.88,1685,1498174,0.22,0.34
2026-01-05 09:45:00,sh600318,新力金融,8.91,8.89,8.91,8.88,711,632151,-0.22,0.34
2026-01-05 09:46:00,sh600318,新力金融,8.88,8.88,8.89,8.88,570,506455,-0.11,0.11
2026-01-05 09:47:00,sh600318,新力金融,8.89,8.9,8.9,8.88,598,531964,0.23,0.23
2026-01-05 09:48:00,sh600318,新力金融,8.9,8.92,8.93,8.9,468,417108,0.22,0.34
2026-01-05 09:49:00,sh600318,新力金融,8.92,8.91,8.93,8.91,552,492736,-0.11,0.22
2026-01-05 09:50:00,sh600318,新力金融,8.92,8.93,8.94,8.92,679,605921,0.22,0.22
2026-01-05 09:51:00,sh600318,新力金融,8.94,8.94,8.94,8.93,830,741613,0.11,0.11
2026-01-05 09:52:00,sh600318,新力金融,8.93,8.93,8.94,8.93,925,826793,-0.11,0.11
2026-01-05 09:53:00,sh600318,新力金融,8.94,8.93,8.94,8.93,154,137556,0.0,0.11
2026-01-05 09:54:00,sh600318,新力金融,8.94,8.94,8.95,8.93,813,726836,0.11,0.22
2026-01-05 09:55:00,sh600318,新力金融,8.95,8.95,8.95,8.94,977,873623,0.11,0.11
2026-01-05 09:56:00,sh600318,新力金融,8.95,8.94,8.95,8.94,318,284434,-0.11,0.11
2026-01-05 09:57:00,sh600318,新力金融,8.94,8.93,8.94,8.93,341,304668,-0.11,0.11
2026-01-05 09:58:00,sh600318,新力金融,8.94,8.93,8.94,8.93,681,608201,0.0,0.11
2026-01-05 09:59:00,sh600318,新力金融,8.93,8.93,8.94,8.93,566,505487,0.0,0.11
2026-01-05 10:00:00,sh600318,新力金融,8.93,8.94,8.94,8.93,397,354892,0.11,0.11
2026-01-05 10:01:00,sh600318,新力金融,8.96,8.97,8.97,8.96,1280,1146208,0.34,0.11
2026-01-05 10:02:00,sh600318,新力金融,8.97,8.96,8.98,8.96,592,531191,-0.11,0.22
2026-01-05 10:03:00,sh600318,新力金融,8.97,8.97,8.98,8.97,443,397510,0.11,0.11
