成交时间,成交价格,价格变动,成交量,成交金额,性质
09:25:00,10.96,0.0,3818,4184528,卖盘
09:30:00,10.96,0.0,489,536331,卖盘
09:30:03,10.97,0.01,1952,2141589,卖盘
09:30:06,10.97,0.0,1031,1131098,卖盘
09:30:09,10.97,0.0,333,365327,卖盘
09:30:12,10.96,-0.01,901,987982,卖盘
09:30:15,10.96,0.0,574,629484,卖盘
09:30:18,10.97,0.01,180,197359,买盘
09:30:21,10.96,-0.01,245,268584,卖盘
09:30:24,10.97,0.01,283,310307,买盘
09:30:27,10.97,0.0,174,190760,买盘
09:30:30,10.96,-0.01,182,199511,卖盘
09:30:33,10.97,0.01,300,328885,买盘
09:30:36,10.96,-0.01,90,98664,卖盘
09:30:39,10.97,0.01,120,131582,买盘
09:30:42,10.96,-0.01,666,729957,卖盘
09:30:45,10.97,0.01,133,145897,买盘
09:30:48,10.96,-0.01,96,105265,卖盘
09:30:51,10.96,0.0,110,120636,卖盘
09:30:54,10.97,0.01,111,121661,买盘
09:30:57,10.96,-0.01,671,735481,卖盘
09:31:00,10.95,-0.01,547,599057,卖盘
09:31:03,10.96,0.01,715,783554,买盘
09:31:06,10.95,-0.01,847,927781,卖盘
09:31:09,10.95,0.0,296,324162,卖盘
09:31:12,10.96,0.01,263,288003,买盘
09:31:15,10.95,-0.01,569,623320,卖盘
09:31:18,10.96,0.01,400,438007,买盘
09:31:21,10.96,0.0,108,118296,买盘
09:31:24,10.96,0.0,385,421799,买盘
09:31:27,10.96,0.0,95,104069,买盘
09:31:30,10.95,-0.01,129,141263,卖盘
09:31:33,10.96,0.01,51,55866,买盘
09:31:36,10.95,-0.01,80,87637,卖盘
09:31:39,10.96,0.01,161,176440,买盘
09:31:42,10.96,0.0,53,58078,买盘
09:31:45,10.95,-0.01,76,83242,卖盘
09:31:48,10.95,0.0,215,235607,卖盘
09:31:51,10.95,0.0,108,118358,卖盘
09:31:54,10.96,0.01,104,113972,买盘
09:31:57,10.96,0.0,32,35056,买盘
09:32:00,10.95,-0.01,594,650438,卖盘
09:32:03,10.95,0.0,420,460108,卖盘
09:32:06,10.95,0.0,177,193824,卖盘
09:32:09,10.96,0.01,36,39455,买盘
09:32:12,10.95,-0.01,221,242049,卖盘
09:32:15,10.96,0.01,246,269469,买盘
09:32:18,10.96,0.0,269,294618,买盘
09:32:21,10.96,0.0,67,73392,买盘
09:32:24,10.95,-0.01,154,168744,卖盘
09:32:27,10.96,0.01,55,60280,买盘
09:32:30,10.96,0.0,146,159959,买盘
09:32:33,10.95,-0.01,164,179655,卖盘
09:32:36,10.95,0.0,1116,1222048,卖盘
09:32:39,10.96,0.01,82,89868,买盘
09:32:42,10.95,-0.01,63,68996,卖盘
09:32:45,10.96,0.01,197,215886,买盘
09:32:48,10.97,0.01,108,118407,买盘
09:32:51,10.96,-0.01,21,23027,中性盘
09:32:54,10.97,0.01,30,32908,买盘
09:32:57,10.97,0.0,9,9873,买盘
09:33:00,10.96,-0.01,834,914093,卖盘
09:33:03,10.96,0.0,39,42744,卖盘
09:33:06,10.96,0.0,574,629044,买盘
09:33:09,10.95,-0.01,157,172036,卖盘
09:33:12,10.97,0.02,242,265051,买盘
09:33:15,10.96,-0.01,242,265046,中性盘
09:33:18,10.96,0.0,249,272745,买盘
09:33:21,10.96,0.0,143,156679,买盘
09:33:24,10.95,-0.01,69,75589,卖盘
09:33:27,10.95,0.0,91,99723,卖盘
09:33:30,10.95,0.0,137,150035,卖盘
09:33:33,10.96,0.01,193,211349,买盘
09:33:36,10.95,-0.01,105,115018,卖盘
09:33:39,10.95,0.0,23,25189,卖盘
09:33:42,10.95,0.0,98,107315,卖盘
09:33:45,10.95,0.0,50,54754,卖盘
